run,tissue_n,mpi_size,tissue_cells,network_cells,total_dofs,inlet_flux,wall_exchange,tissue_boundary_outflow,tissue_mean_pressure,tissue_volume,tissue_integral_pressure,tissue_l2_norm,vessel_l2_norm,axial_flow_l2_norm,energy,conservation_relative_error,energy_relative_error,linear_relative_residual,inlet_bc_error,assembly_seconds,solve_seconds,ksp_reason,relative_inlet_flux_change,relative_tissue_mean_change,tissue_relative_l2_error,vessel_retained_relative_l2_error,axial_flow_retained_relative_l2_error,total_seconds,dataset,geometry,case,maximum_network_cell_length,topology_components,topology_cycle_rank,original_input_points,original_input_edges,containment_points
intact,,4,126569,2016,29932,1.2314285763500839e-05,1.2314285763501044e-05,1.2314285763501044e-05,3.0867084810564034e-07,0.10708173963931945,3.30530113910961e-08,4.6008147339784997e-07,0.19044981275354655,2.264266279432623e-06,1.2314285763500829e-05,1.6645867829630922e-14,8.254149337007076e-16,1.2337163996419955e-19,0.0,115.91168956900947,0.2857659028377384,4,0.0,0.0,0.0,0.0,0.0,129.03165331785567,pt002,supplied_inflow,intact,0.005,1,32,797,828,66528
network_refinement,,4,126569,3564,31480,1.2313056261661458e-05,1.23130562616612e-05,1.2313056261661204e-05,3.0870051768787e-07,0.10708173963931945,3.3056188461575625e-08,4.601636777012147e-07,0.1904178578876634,2.264378070174347e-06,1.2313056261661485e-05,2.0912599641655653e-14,2.2013262780690114e-15,3.747713199800455e-19,0.0,217.9796517721843,0.3236703388392925,4,0.0,0.0,0.0,0.0,0.0,228.92534054396674,pt002,supplied_inflow,intact,0.0025,1,32,797,828,117612
